                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4763,                0.62709,                 1.6013,                0.52512,                 0.4951,                 0.4768,                0.24928,                 1.7022,                0.96276,                 1.9666,                0.08089,                0.00049,                0.00049
                      2,                 1.4093,                 0.4639,                 1.5341,                0.16476,                0.50958,                0.12331,                0.07668,                    nan,                    nan,                    nan,                0.06139,             0.00098989,             0.00098989
                      3,                  1.396,                0.45395,                 1.5534,                0.42067,                0.66147,                 0.4715,                0.21808,                 1.5233,                 1.4322,                 1.8223,               0.041889,              0.0014893,              0.0014893
                      4,                 1.3965,                0.50234,                  1.537,                0.63336,                0.64388,                0.63895,                0.32502,                 1.6282,                 0.8637,                 1.8579,               0.022388,               0.001988,               0.001988
                      5,                 1.3924,                 0.4807,                 1.4904,                0.74772,                0.75702,                0.78002,                0.43828,                  1.458,                0.85107,                 1.6467,              0.0028856,              0.0024856,              0.0024856
                      6,                 1.4271,                0.46093,                 1.5407,                0.77964,                0.71626,                 0.7804,                0.43054,                 1.5613,                0.48943,                 1.7079,              0.0024931,              0.0024931,              0.0024931
                      7,                  1.354,                0.41573,                 1.4774,                0.79186,                0.79131,                0.84229,                0.47427,                 1.4829,                0.47131,                 1.6123,              0.0024931,              0.0024931,              0.0024931
                      8,                   1.36,                0.37911,                 1.4518,                 0.8235,                0.84167,                0.87275,                0.51564,                   1.38,                0.37516,                  1.492,                0.00249,                0.00249,                0.00249
                      9,                 1.3292,                0.37616,                 1.4574,                0.85623,                0.83163,                0.88121,                0.52218,                 1.3908,                0.39928,                 1.5156,              0.0024865,              0.0024865,              0.0024865
                     10,                 1.3518,                  0.373,                 1.4545,                0.80716,                0.83385,                0.86876,                0.50593,                 1.3526,                0.39307,                 1.5203,              0.0024823,              0.0024823,              0.0024823
                     11,                 1.2773,                0.34627,                 1.4203,                0.85677,                0.85412,                0.89112,                0.52388,                 1.3847,                0.35357,                 1.5126,              0.0024776,              0.0024776,              0.0024776
                     12,                 1.2785,                 0.3364,                 1.4298,                0.84963,                0.87171,                0.89018,                 0.5269,                  1.347,                 0.3461,                 1.5081,              0.0024724,              0.0024724,              0.0024724
                     13,                 1.2812,                0.33057,                 1.4241,                0.85235,                0.82071,                0.87743,                0.54555,                 1.3116,                0.35163,                  1.468,              0.0024667,              0.0024667,              0.0024667
                     14,                 1.2663,                 0.3249,                 1.4243,                0.84889,                0.83853,                0.89095,                0.54819,                 1.2982,                0.33773,                 1.4445,              0.0024604,              0.0024604,              0.0024604
                     15,                 1.1928,                0.30913,                 1.3818,                0.86233,                0.85938,                0.90393,                0.56227,                 1.2664,                0.31536,                 1.4553,              0.0024535,              0.0024535,              0.0024535
                     16,                 1.1911,                0.29862,                 1.3728,                0.87484,                0.87483,                0.91305,                0.57571,                 1.2688,                0.30186,                 1.4447,              0.0024462,              0.0024462,              0.0024462
                     17,                 1.1674,                0.28535,                 1.3627,                0.87732,                0.88775,                0.92164,                0.57752,                 1.2499,                0.29298,                 1.4373,              0.0024383,              0.0024383,              0.0024383
                     18,                 1.1461,                0.27942,                 1.3392,                0.88473,                0.88018,                0.92096,                0.56872,                 1.2818,                0.28948,                 1.4466,              0.0024299,              0.0024299,              0.0024299
                     19,                 1.1348,                0.26938,                 1.3463,                 0.8913,                0.89298,                 0.9278,                0.58761,                 1.2236,                0.27847,                 1.4427,              0.0024209,              0.0024209,              0.0024209
                     20,                 1.1253,                0.26785,                 1.3408,                0.87982,                0.87394,                 0.9153,                 0.5744,                 1.2404,                0.28612,                 1.4547,              0.0024115,              0.0024115,              0.0024115
                     21,                 1.1473,                0.27079,                 1.3579,                0.87458,                0.86993,                0.91104,                 0.5781,                 1.2397,                 0.2814,                  1.437,              0.0024015,              0.0024015,              0.0024015
                     22,                 1.0953,                0.26246,                 1.3153,                0.87431,                0.87283,                0.90867,                0.57496,                 1.2607,                0.28432,                 1.4337,              0.0023911,              0.0023911,              0.0023911
                     23,                 1.1376,                0.26691,                   1.33,                0.88955,                0.87357,                0.91807,                   0.57,                 1.2827,                0.28028,                 1.4686,              0.0023801,              0.0023801,              0.0023801
