                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0468,                0.24911,                 1.3362,                0.86445,                0.86974,                0.90757,                0.57232,                   1.28,                0.29039,                  1.551,             0.00087007,             0.00087007,             0.00087007
                     36,                 1.0223,                0.24044,                 1.3331,                0.87327,                 0.8764,                0.91527,                0.57955,                 1.2591,                0.28262,                 1.5557,             0.00081059,             0.00081059,             0.00081059
                     37,                 1.0321,                0.24231,                 1.3445,                0.87819,                0.86665,                0.91208,                 0.5761,                 1.2685,                0.29068,                 1.5552,             0.00075344,             0.00075344,             0.00075344
                     38,                 1.0141,                0.23856,                 1.3074,                0.88043,                0.86062,                0.91153,                0.57951,                 1.2664,                0.28418,                 1.5365,             0.00069883,             0.00069883,             0.00069883
                     39,                0.98617,                0.23491,                 1.3037,                0.87351,                0.86849,                 0.9106,                0.57886,                 1.2689,                0.28352,                 1.5442,               0.000647,               0.000647,               0.000647
                     40,                0.97415,                0.23139,                 1.2856,                 0.8702,                0.87969,                0.91377,                0.57975,                 1.2737,                0.27824,                 1.5497,             0.00059813,             0.00059813,             0.00059813
                     41,                0.96095,                0.22763,                 1.2841,                0.87421,                0.88246,                0.91424,                 0.5819,                 1.2599,                0.27859,                  1.545,             0.00055244,             0.00055244,             0.00055244
                     42,                0.94546,                0.22236,                 1.2693,                0.87646,                 0.8769,                0.91294,                0.58249,                 1.2562,                 0.2784,                  1.552,             0.00051008,             0.00051008,             0.00051008
                     43,                0.93001,                0.22011,                 1.2713,                 0.8755,                0.87917,                0.91618,                 0.5865,                 1.2596,                0.27314,                 1.5484,             0.00047124,             0.00047124,             0.00047124
                     44,                0.92069,                0.21734,                 1.2608,                0.88137,                 0.8739,                0.91656,                0.58216,                 1.2705,                0.27204,                   1.56,             0.00043606,             0.00043606,             0.00043606
                     45,                0.90618,                0.21604,                 1.2497,                0.88073,                0.87766,                0.91565,                0.58182,                 1.2681,                0.27249,                 1.5497,             0.00040469,             0.00040469,             0.00040469
                     46,                0.91444,                0.21686,                 1.2472,                0.87746,                0.87748,                0.91284,                 0.5797,                 1.2726,                0.27402,                 1.5626,             0.00037725,             0.00037725,             0.00037725
                     47,                0.90142,                0.21366,                 1.2445,                0.87654,                0.87824,                0.91139,                0.57925,                 1.2633,                0.27104,                 1.5795,             0.00035384,             0.00035384,             0.00035384
                     48,                0.87548,                0.20852,                 1.2187,                0.87922,                0.88056,                0.91142,                0.57958,                  1.265,                0.26911,                 1.5699,             0.00033456,             0.00033456,             0.00033456
                     49,                0.86071,                 0.2048,                 1.2118,                0.88128,                0.88035,                0.91422,                0.58041,                 1.2635,                0.26616,                 1.5784,             0.00031948,             0.00031948,             0.00031948
                     50,                0.85806,                0.20236,                 1.2104,                0.87734,                0.88408,                0.91437,                0.58056,                 1.2611,                0.26644,                 1.5743,             0.00030867,             0.00030867,             0.00030867
