                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0018,                0.22354,                 1.2114,                0.87649,                0.85984,                0.90701,                0.57754,                 1.2374,                0.26269,                 1.3966,              0.0022119,              0.0022119,              0.0022119
                     36,                 1.0135,                0.22241,                 1.2191,                 0.8738,                0.85242,                 0.9034,                0.57074,                  1.253,                0.26567,                 1.4105,              0.0021951,              0.0021951,              0.0021951
                     37,                0.98953,                0.21883,                 1.2077,                0.87961,                0.85093,                0.90747,                0.58314,                 1.2296,                0.25997,                 1.3935,              0.0021778,              0.0021778,              0.0021778
                     38,                0.98219,                0.21984,                 1.1968,                0.87089,                0.86977,                0.91057,                0.58378,                 1.2248,                0.26062,                  1.382,              0.0021602,              0.0021602,              0.0021602
                     39,                 0.9655,                0.21651,                 1.1915,                0.88774,                0.84725,                0.90331,                0.57425,                 1.2592,                0.25948,                 1.3988,              0.0021421,              0.0021421,              0.0021421
                     40,                0.95742,                 0.2157,                 1.1823,                0.87263,                0.85201,                0.89998,                0.56914,                 1.2604,                 0.2666,                 1.4017,              0.0021237,              0.0021237,              0.0021237
                     41,                 0.9767,                0.21429,                 1.1889,                0.85981,                0.85455,                0.89972,                0.55975,                 1.2853,                0.27001,                 1.4247,               0.002105,               0.002105,               0.002105
                     42,                 0.9666,                0.21033,                 1.1778,                0.85753,                0.85948,                0.90346,                0.57571,                 1.2257,                0.26251,                 1.3855,              0.0020858,              0.0020858,              0.0020858
                     43,                0.97973,                0.21212,                 1.1842,                0.87581,                0.84422,                0.89752,                0.55769,                 1.3087,                0.27027,                 1.4492,              0.0020664,              0.0020664,              0.0020664
                     44,                0.96057,                0.20882,                 1.1776,                 0.8707,                0.86196,                0.90423,                0.56864,                 1.2718,                0.26179,                 1.4105,              0.0020466,              0.0020466,              0.0020466
                     45,                0.94087,                0.20539,                 1.1671,                0.87396,                0.85612,                0.90376,                0.57216,                 1.2646,                0.25938,                 1.4101,              0.0020264,              0.0020264,              0.0020264
                     46,                 0.9111,                0.20003,                 1.1424,                 0.8823,                 0.8598,                0.91035,                0.57724,                 1.2359,                0.26054,                 1.3934,               0.002006,               0.002006,               0.002006
                     47,                0.91275,                0.20173,                 1.1447,                0.87155,                0.87199,                0.91163,                0.57694,                 1.2619,                0.25301,                 1.4093,              0.0019852,              0.0019852,              0.0019852
                     48,                0.87837,                0.19968,                  1.127,                0.87866,                0.85696,                  0.907,                0.57845,                 1.2431,                0.26003,                 1.4361,              0.0019642,              0.0019642,              0.0019642
                     49,                0.88661,                0.19403,                 1.1445,                0.87834,                0.86379,                0.91232,                0.57734,                 1.2702,                0.25679,                 1.4307,              0.0019429,              0.0019429,              0.0019429
                     50,                0.85282,                0.19213,                 1.1229,                0.87764,                 0.8598,                0.90502,                0.57596,                 1.2602,                0.25468,                 1.4471,              0.0019213,              0.0019213,              0.0019213
                     51,                0.85971,                0.19428,                 1.1209,                0.86469,                0.86651,                0.90362,                0.57582,                 1.2464,                0.25586,                 1.4217,              0.0018994,              0.0018994,              0.0018994
                     52,                0.84418,                0.18701,                 1.1171,                0.87186,                0.85526,                  0.898,                 0.5721,                 1.2456,                0.25645,                 1.4458,              0.0018773,              0.0018773,              0.0018773
                     53,                0.82345,                0.18456,                  1.104,                0.87795,                0.85223,                0.89685,                0.57073,                 1.2393,                0.25285,                 1.4433,              0.0018549,              0.0018549,              0.0018549
                     54,                0.82321,                0.18348,                 1.0978,                0.86852,                0.85467,                0.90136,                0.54794,                 1.3175,                0.25888,                 1.4737,              0.0018323,              0.0018323,              0.0018323
                     55,                0.80404,                0.18157,                 1.0858,                0.87244,                0.85679,                0.90233,                 0.5746,                 1.2547,                0.25642,                 1.4504,              0.0018095,              0.0018095,              0.0018095
                     56,                0.82243,                0.18084,                 1.0896,                0.87912,                0.84942,                0.90459,                0.57309,                 1.2765,                0.26375,                 1.4336,              0.0017865,              0.0017865,              0.0017865
