epoch,train_loss,train_ce_loss,train_supcon_loss,val_loss,val_top1,val_top5,lr,train_samples,val_samples,validated
1,4.849654435129495,4.8422763549908385,0.049187210782797766,3.7805413578688447,0.8556156790286393,0.9651577141348818,0.00025,38860,7577,True
2,3.160073791343651,3.1557009720920144,0.029152109378586713,,,,0.00025,38860,7577,False
3,1.9763977397018446,1.9728591322309692,0.023590704301507188,1.3617411773925692,0.8756763890721921,0.9754520258677577,0.00025,38860,7577,True
4,1.3436385995080875,1.33998879878682,0.024332002733559448,,,,0.00024654934081934365,38860,7577,False
5,1.0221000681009873,1.0189541058347882,0.020973085207155795,,,,0.00023639790304631864,38860,7577,False
6,0.8447041716027692,0.8421271814791336,0.017179930267343067,0.8853990304072016,0.8969249043156923,0.9832387488451894,0.00022013565134531822,38860,7577,True
7,0.7211529423023959,0.7185013968822788,0.017676969826730855,,,,0.00019870768867432474,38860,7577,False
8,0.6433109260813212,0.6409425921063054,0.01578889029749548,,,,0.00017335933033630108,38860,7577,False
9,0.5751672528279083,0.572948145414695,0.014794052613414271,0.8237513132109182,0.9066913026263693,0.9861422726672826,0.0001455637307803196,38860,7577,True
10,0.5254002095889024,0.5236919495527198,0.011388399268468286,,,,0.0001169362692196804,38860,7577,False
11,0.4865567491464992,0.4845261952825983,0.013537025262096887,,,,8.914066966369891e-05,38860,7577,False
12,0.4516363230087415,0.4499542981729869,0.01121349987394408,0.7067431214972161,0.9303154282697638,0.9898376666226739,6.379231132567526e-05,38860,7577,True
13,0.4384017458808481,0.4368511196563428,0.010337511154238435,,,,4.2364348654681734e-05,38860,7577,False
14,0.41559456416468643,0.41432890767320574,0.008437708790430912,,,,2.6102096953681366e-05,38860,7577,False
15,0.40124748615299455,0.40009083246575944,0.007711024458567678,0.6461998450224296,0.9503761383133166,0.9907615151115217,1.5950659180656326e-05,38860,7577,True
16,0.3967609309531515,0.395377023289781,0.009226050813217482,0.6357456999693852,0.9528837270687607,0.990629536755972,1.25e-05,38860,7577,True
