epoch,train_loss,train_ce_loss,train_supcon_loss,val_loss,val_top1,val_top5,lr,train_samples,val_samples,validated
1,4.9771257861509905,4.963307013080156,0.09212519544191626,4.027960905966136,0.8726099976963834,0.9698226215157798,0.00025,41905,4341,True
2,3.4536843649437063,3.4454351618527546,0.05499468732662984,,,,0.00025,41905,4341,False
3,2.2530174957244804,2.2460106252121896,0.046712486000490154,1.5331928938441879,0.8901174844505875,0.9760423865468786,0.00025,41905,4341,True
4,1.541223921794935,1.5346335297597642,0.043935958398374025,,,,0.00024797805558746333,41905,4341,False
5,1.1486521625436867,1.1433658341088793,0.03524218139351404,,,,0.00024198107724176724,41905,4341,False
6,0.922603123103357,0.917536303076684,0.03377879076153064,0.9077503206652449,0.9080856945404284,0.9790370882285188,0.0002322132848678917,41905,4341,True
7,0.7728586202702844,0.7675715358191749,0.0352472294101678,,,,0.00021900730891995327,41905,4341,False
8,0.6804201994155281,0.6758172348192877,0.030686430721371373,,,,0.0002028128630700367,41905,4341,False
9,0.6035486513669821,0.5994084454893657,0.027601365133877155,0.8013904640076485,0.9221377562773555,0.981110343238885,0.00018418142974846395,41905,4341,True
10,0.5514576967639202,0.5475457891019623,0.026079381211009518,,,,0.00016374748007105987,41905,4341,False
11,0.5067616891956548,0.5032070941736608,0.02369730153803744,,,,0.00014220686768626713,41905,4341,False
12,0.46836610290329617,0.46506877965533855,0.021982151505970455,0.731448738634298,0.9348076480073716,0.986869384934347,0.00012029313231373291,41905,4341,True
13,0.438509925022158,0.4354274975133789,0.020549513993912534,,,,9.875251992894019e-05,41905,4341,False
14,0.4144342507898193,0.4114281553924425,0.02004063426714176,,,,7.831857025153615e-05,41905,4341,False
15,0.39679445829861215,0.39383206519064623,0.019749282480382605,0.6762366721608677,0.9518544114259387,0.9873301082699839,5.968713692996332e-05,41905,4341,True
16,0.3770848333425948,0.3745545042339469,0.016868860188581983,,,,4.349269108004671e-05,41905,4341,False
17,0.3682084274728956,0.3656156563881746,0.0172851370840375,,,,3.0286715132108338e-05,41905,4341,False
18,0.3621479414855765,0.35950798233213566,0.017599728957088882,0.6489207546053546,0.9562312831144898,0.9889426399447132,2.0518922758232762e-05,41905,4341,True
19,0.35685488875242716,0.35429362080487736,0.017075119270809888,,,,1.4521944412536664e-05,41905,4341,False
20,0.3511523457258974,0.3488825672270916,0.015131854882732781,0.6383375798164769,0.9585348997926745,0.9887122782768947,1.25e-05,41905,4341,True
