                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4098,                0.61307,                 1.5266,                0.21661,                0.69842,                0.18607,                0.11099,                 1.3724,                    inf,                 1.8746,               0.080898,              0.0004898,              0.0004898
                      2,                 1.3976,                0.48505,                 1.5197,                0.27237,                0.51386,                   0.21,                0.11521,                 1.6577,                    inf,                 2.1493,               0.061398,             0.00098969,             0.00098969
                      3,                 1.4434,                0.47589,                 1.5275,                0.63765,                0.64606,                0.63848,                0.35001,                 1.5268,                 1.1685,                 1.7734,               0.041897,              0.0014891,              0.0014891
                      4,                 1.4209,                0.48982,                 1.5167,                0.07785,                 0.2676,                0.04762,                 0.0275,                 1.9948,                    inf,                  2.268,               0.022396,              0.0019878,              0.0019878
                      5,                 1.4877,                0.55494,                 1.5291,                0.77314,                0.73889,                0.80208,                0.45229,                 1.4042,                0.66709,                 1.5353,              0.0028935,              0.0024854,              0.0024854
                      6,                  1.461,                0.50364,                 1.5247,                0.63077,                0.34668,                0.40628,                0.22318,                 2.4803,                 1.2284,                 3.8983,              0.0024931,              0.0024931,              0.0024931
                      7,                 1.4072,                0.48583,                 1.5427,                0.45226,                0.70524,                0.40206,                0.21864,                 1.5122,                    inf,                 1.7302,              0.0024931,              0.0024931,              0.0024931
                      8,                 1.3618,                0.43063,                 1.4986,                0.38564,                0.69182,                0.31908,                0.18397,                 1.3926,                    inf,                 1.6984,                0.00249,                0.00249,                0.00249
                      9,                 1.3306,                0.41074,                 1.4484,                0.75089,                 0.6344,                0.68571,                0.41005,                 1.7324,                0.66193,                 2.1584,              0.0024865,              0.0024865,              0.0024865
                     10,                 1.3145,                0.39952,                 1.4457,                0.81985,                 0.7308,                0.78351,                0.45528,                 1.4909,                0.53151,                 1.6619,              0.0024823,              0.0024823,              0.0024823
                     11,                 1.2769,                0.36095,                 1.4245,                0.79298,                0.80553,                0.85138,                0.51727,                 1.3566,                0.53108,                 1.4931,              0.0024776,              0.0024776,              0.0024776
                     12,                 1.2866,                0.36435,                 1.4241,                0.82229,                0.83568,                0.88036,                0.53174,                 1.3038,                0.42334,                 1.4765,              0.0024724,              0.0024724,              0.0024724
                     13,                 1.2583,                0.33757,                  1.401,                0.85805,                0.85548,                0.90789,                0.57007,                 1.2672,                0.35438,                 1.4346,              0.0024667,              0.0024667,              0.0024667
                     14,                 1.2539,                0.33353,                 1.4032,                 0.8313,                0.84646,                0.88566,                0.53424,                 1.3272,                0.37269,                 1.4529,              0.0024604,              0.0024604,              0.0024604
                     15,                 1.2989,                 0.3562,                 1.4303,                0.82548,                0.82923,                 0.8792,                0.53054,                 1.3082,                0.36833,                 1.4737,              0.0024535,              0.0024535,              0.0024535
                     16,                 1.2372,                0.33778,                 1.3983,                0.85474,                 0.8491,                0.89793,                0.54699,                 1.3051,                 0.3292,                 1.4531,              0.0024462,              0.0024462,              0.0024462
                     17,                 1.2289,                0.31134,                 1.3776,                0.85099,                0.85988,                0.90396,                0.56925,                 1.2795,                0.31492,                 1.4316,              0.0024383,              0.0024383,              0.0024383
                     18,                 1.2293,                0.31686,                 1.3734,                0.85801,                0.87747,                0.91212,                0.56637,                 1.3021,                0.31179,                  1.426,              0.0024299,              0.0024299,              0.0024299
                     19,                  1.218,                0.30745,                 1.3885,                0.86172,                0.86604,                0.90807,                0.57156,                 1.2493,                0.30761,                 1.4331,              0.0024209,              0.0024209,              0.0024209
                     20,                 1.1734,                 0.2967,                 1.3498,                0.87289,                0.87549,                0.91505,                0.57462,                 1.2685,                0.29465,                 1.4276,              0.0024115,              0.0024115,              0.0024115
                     21,                 1.1719,                0.28783,                 1.3542,                 0.8474,                0.84771,                0.89994,                0.55987,                  1.309,                0.31695,                 1.4408,              0.0024015,              0.0024015,              0.0024015
                     22,                  1.173,                0.29295,                 1.3429,                 0.8742,                0.87044,                0.91799,                0.58026,                 1.2771,                0.29692,                 1.4401,              0.0023911,              0.0023911,              0.0023911
                     23,                 1.1637,                0.28362,                 1.3374,                 0.8745,                0.86098,                0.91176,                0.57017,                 1.3072,                0.29603,                 1.4262,              0.0023801,              0.0023801,              0.0023801
                     24,                 1.2015,                0.28876,                 1.3543,                0.86579,                0.85712,                0.90488,                0.56019,                 1.2802,                0.30396,                 1.4537,              0.0023687,              0.0023687,              0.0023687
                     25,                  1.152,                0.28023,                 1.3431,                0.87977,                0.87264,                0.91702,                0.58122,                 1.2705,                0.28526,                 1.4215,              0.0023567,              0.0023567,              0.0023567
                     26,                  1.146,                0.27653,                 1.3255,                0.86832,                0.87593,                0.91134,                0.57727,                 1.2663,                0.28956,                 1.4321,              0.0023443,              0.0023443,              0.0023443
                     27,                 1.1172,                 0.2667,                 1.3072,                0.87443,                0.87928,                0.91727,                0.58874,                 1.2361,                0.27873,                 1.4122,              0.0023314,              0.0023314,              0.0023314
                     28,                    1.1,                0.26107,                  1.306,                0.87842,                0.88033,                0.92161,                0.58911,                 1.2299,                0.27643,                 1.4149,               0.002318,               0.002318,               0.002318
                     29,                 1.0943,                0.25383,                 1.2948,                0.87684,                0.88451,                0.92063,                 0.5851,                 1.2473,                0.27251,                 1.4338,              0.0023042,              0.0023042,              0.0023042
                     30,                 1.0862,                0.25421,                 1.3048,                0.88263,                0.88891,                0.92644,                0.59217,                 1.2427,                 0.2688,                 1.4233,              0.0022899,              0.0022899,              0.0022899
                     31,                 1.0751,                0.25027,                 1.2944,                0.87426,                0.88097,                0.91995,                0.58392,                 1.2508,                0.27355,                 1.4348,              0.0022752,              0.0022752,              0.0022752
                     32,                 1.0668,                0.25298,                  1.279,                0.88433,                0.88429,                0.92336,                0.59649,                 1.2118,                0.26186,                 1.4091,                0.00226,                0.00226,                0.00226
                     33,                 1.0319,                0.23851,                 1.2644,                0.87863,                0.87703,                0.92016,                0.59436,                 1.2275,                0.26672,                  1.418,              0.0022444,              0.0022444,              0.0022444
                     34,                 1.0368,                0.24784,                 1.2679,                0.88888,                 0.8816,                0.92626,                0.58604,                 1.2551,                0.25986,                 1.4288,              0.0022284,              0.0022284,              0.0022284
                     35,                 1.0292,                 0.2406,                 1.2563,                0.87076,                0.87725,                0.91353,                0.57086,                  1.285,                0.27617,                 1.4258,              0.0022119,              0.0022119,              0.0022119
                     36,                  1.054,                0.24518,                 1.2568,                0.87369,                0.86604,                0.91227,                0.58059,                  1.252,                0.26878,                 1.4466,              0.0021951,              0.0021951,              0.0021951
                     37,                 1.0161,                0.23029,                 1.2531,                0.88447,                0.88473,                0.92417,                0.58612,                 1.2476,                0.26415,                 1.4255,              0.0021778,              0.0021778,              0.0021778
                     38,                0.98491,                0.22467,                 1.2298,                0.87924,                0.88252,                0.92551,                0.58947,                 1.2641,                 0.2619,                 1.4578,              0.0021602,              0.0021602,              0.0021602
                     39,                 1.0095,                0.22526,                 1.2355,                0.87844,                0.87584,                0.91984,                0.58444,                 1.2718,                0.26358,                 1.4548,              0.0021421,              0.0021421,              0.0021421
                     40,                  1.005,                 0.2209,                 1.2307,                 0.8831,                0.88071,                 0.9224,                   0.59,                 1.2596,                0.25902,                 1.4414,              0.0021237,              0.0021237,              0.0021237
                     41,                 1.0074,                0.22543,                 1.2503,                0.87955,                0.88504,                0.91947,                0.58426,                  1.283,                0.25983,                 1.4874,               0.002105,               0.002105,               0.002105
                     42,                0.95767,                0.21294,                 1.2011,                0.88053,                0.88253,                0.92452,                0.59767,                 1.2429,                0.25209,                 1.4426,              0.0020858,              0.0020858,              0.0020858
                     43,                0.94339,                0.21279,                 1.1991,                 0.8728,                0.88517,                0.92159,                0.58939,                 1.2618,                0.25749,                 1.4425,              0.0020664,              0.0020664,              0.0020664
                     44,                0.91842,                0.20714,                 1.1905,                0.87709,                0.88535,                0.92402,                0.58876,                 1.2745,                0.25948,                 1.4648,              0.0020466,              0.0020466,              0.0020466
                     45,                0.92104,                0.20666,                 1.1894,                0.88159,                0.88803,                0.92372,                0.59984,                 1.2201,                0.24478,                 1.4481,              0.0020264,              0.0020264,              0.0020264
                     46,                0.89729,                0.19946,                 1.1706,                0.87647,                0.88496,                0.92401,                0.59586,                 1.2365,                0.24782,                 1.4567,               0.002006,               0.002006,               0.002006
                     47,                0.90463,                0.20046,                 1.1732,                0.88285,                0.89017,                0.92679,                0.59857,                 1.2266,                 0.2412,                 1.4552,              0.0019852,              0.0019852,              0.0019852
                     48,                0.90679,                0.20277,                 1.1717,                0.88393,                0.87616,                0.91801,                0.58181,                 1.2578,                0.25358,                 1.4535,              0.0019642,              0.0019642,              0.0019642
                     49,                0.88459,                0.19744,                 1.1659,                0.87503,                0.88869,                0.91373,                 0.5852,                  1.259,                0.25545,                 1.4584,              0.0019429,              0.0019429,              0.0019429
                     50,                 0.8689,                0.19201,                 1.1492,                0.86969,                0.88965,                0.92227,                0.58517,                 1.2616,                0.24753,                 1.4612,              0.0019213,              0.0019213,              0.0019213
                     51,                0.87251,                 0.1978,                 1.1528,                0.87226,                0.87374,                0.91585,                0.58676,                 1.2345,                0.25254,                 1.4708,              0.0018994,              0.0018994,              0.0018994
                     52,                0.84017,                0.18965,                 1.1309,                0.88264,                0.87188,                0.92306,                0.58764,                 1.2606,                0.24689,                 1.4892,              0.0018773,              0.0018773,              0.0018773
                     53,                0.84159,                0.18931,                 1.1215,                0.87603,                0.88755,                0.92251,                0.58262,                 1.2714,                0.24935,                 1.4897,              0.0018549,              0.0018549,              0.0018549
                     54,                0.85106,                0.18884,                 1.1461,                0.88199,                0.88055,                0.92193,                0.58811,                  1.261,                0.24733,                 1.4846,              0.0018323,              0.0018323,              0.0018323
                     55,                0.84108,                0.18494,                 1.1321,                0.88443,                0.88077,                0.92008,                 0.5867,                 1.2673,                0.24599,                 1.4863,              0.0018095,              0.0018095,              0.0018095
                     56,                0.84175,                0.18212,                 1.1299,                 0.8814,                0.88517,                0.92228,                 0.5671,                 1.3384,                0.25056,                 1.5259,              0.0017865,              0.0017865,              0.0017865
                     57,                0.82352,                0.18066,                 1.1199,                0.88673,                0.87967,                0.91899,                0.57892,                 1.2833,                0.24863,                 1.5244,              0.0017633,              0.0017633,              0.0017633
                     58,                0.81595,                0.18083,                 1.1226,                0.88062,                0.88605,                0.92013,                0.58824,                 1.2593,                0.24546,                 1.5025,              0.0017399,              0.0017399,              0.0017399
                     59,                0.78698,                0.17332,                 1.1033,                0.88318,                0.88275,                0.92388,                0.57932,                 1.3088,                0.24893,                  1.522,              0.0017164,              0.0017164,              0.0017164
                     60,                0.79426,                0.17487,                 1.1063,                0.87768,                0.88702,                0.92347,                0.58819,                 1.2702,                0.24172,                 1.5176,              0.0016926,              0.0016926,              0.0016926
                     61,                0.79077,                0.17332,                 1.0936,                0.87674,                0.88871,                0.92106,                0.58442,                 1.2835,                0.24438,                 1.5295,              0.0016688,              0.0016688,              0.0016688
                     62,                0.79677,                0.17418,                 1.1017,                0.88532,                0.87799,                0.91885,                0.59521,                 1.2393,                0.24148,                 1.5035,              0.0016448,              0.0016448,              0.0016448
                     63,                0.84663,                0.17652,                 1.1526,                0.89098,                0.89704,                0.92594,                0.57982,                 1.3161,                0.24081,                 1.5509,              0.0016206,              0.0016206,              0.0016206
                     64,                 0.8946,                0.18308,                 1.1466,                0.88916,                0.87175,                0.91859,                0.57852,                 1.3046,                0.26279,                 1.5283,              0.0015964,              0.0015964,              0.0015964
                     65,                0.84794,                0.18109,                 1.1337,                0.89043,                0.87571,                0.92217,                0.58551,                 1.2507,                 0.2432,                 1.4918,              0.0015721,              0.0015721,              0.0015721
                     66,                0.78458,                0.17214,                 1.0989,                0.89033,                0.88407,                0.92387,                0.58276,                 1.2863,                0.24383,                  1.506,              0.0015477,              0.0015477,              0.0015477
                     67,                0.76245,                0.16735,                 1.0896,                0.88004,                0.87659,                0.91694,                0.57562,                 1.3074,                 0.2548,                 1.5371,              0.0015232,              0.0015232,              0.0015232
                     68,                0.73311,                0.16342,                 1.0596,                0.88572,                0.88099,                0.92327,                 0.5909,                 1.2569,                0.24449,                 1.4886,              0.0014986,              0.0014986,              0.0014986
                     69,                0.72082,                0.15928,                 1.0567,                  0.892,                0.87747,                0.92196,                0.59972,                 1.2369,                0.24087,                 1.4965,               0.001474,               0.001474,               0.001474
                     70,                0.70931,                0.15618,                 1.0405,                0.88643,                0.88941,                 0.9247,                0.59901,                 1.2623,                0.24476,                  1.519,              0.0014494,              0.0014494,              0.0014494
                     71,                0.68464,                0.15253,                  1.033,                0.88888,                0.87808,                 0.9233,                0.60379,                 1.2425,                 0.2401,                 1.5235,              0.0014247,              0.0014247,              0.0014247
                     72,                0.68203,                0.15125,                  1.037,                0.88726,                0.87941,                0.91984,                  0.588,                 1.2998,                 0.2545,                 1.5807,                 0.0014,                 0.0014,                 0.0014
                     73,                0.68814,                0.15052,                 1.0399,                0.89235,                 0.8789,                 0.9221,                0.60661,                 1.2313,                0.24081,                 1.5328,              0.0013753,              0.0013753,              0.0013753
                     74,                0.67782,                0.14876,                 1.0264,                0.88084,                0.88785,                0.91737,                0.58541,                 1.2939,                0.24896,                 1.5709,              0.0013506,              0.0013506,              0.0013506
                     75,                0.66909,                0.14811,                 1.0209,                 0.8754,                0.88711,                 0.9148,                0.58495,                  1.272,                0.24247,                 1.5767,               0.001326,               0.001326,               0.001326
                     76,                0.66399,                0.14592,                 1.0246,                0.87958,                0.88957,                0.92435,                0.59504,                 1.2719,                0.24033,                 1.5775,              0.0013014,              0.0013014,              0.0013014
                     77,                0.64323,                0.14221,                 1.0111,                0.87776,                0.89969,                0.92669,                 0.5899,                 1.2798,                0.24043,                 1.5752,              0.0012768,              0.0012768,              0.0012768
                     78,                0.64443,                0.14265,                 1.0057,                0.88144,                0.88847,                0.91874,                0.58603,                 1.2698,                0.24411,                 1.5876,              0.0012523,              0.0012523,              0.0012523
                     79,                0.65983,                0.14556,                 1.0214,                0.89159,                0.88385,                0.92607,                0.58866,                 1.2929,                 0.2408,                 1.6063,              0.0012279,              0.0012279,              0.0012279
                     80,                0.66278,                 0.1483,                 1.0123,                0.89197,                 0.8718,                0.91943,                0.58836,                 1.2735,                0.24002,                 1.5907,              0.0012036,              0.0012036,              0.0012036
