epoch,train_loss,train_ce_loss,train_supcon_loss,val_loss,val_top1,val_top5,lr,train_samples,val_samples,validated
1,4.970755109589221,4.9580582017722765,0.08464604588607053,4.047145096153296,0.8836339639243291,0.9749230092388913,0.00025,41700,4546,True
2,3.465554639491068,3.4575131843166966,0.05360970978607281,,,,0.00025,41700,4546,False
3,2.2733730978680096,2.265871443094746,0.050011025300344146,1.5547683842634241,0.904531456225253,0.9760228772547295,0.00025,41700,4546,True
4,1.5637019118680382,1.5567594209024984,0.046283272218347035,,,,0.00024797805558746333,41700,4546,False
5,1.1688235634894963,1.1626824129561675,0.04094099804536321,,,,0.00024198107724176724,41700,4546,False
6,0.9282703974417278,0.9227188478829125,0.037010330938114684,0.8740686915070802,0.9146502419709635,0.9837219533655961,0.0002322132848678917,41700,4546,True
7,0.7876222380844679,0.7826372365111031,0.033233343563090864,,,,0.00021900730891995327,41700,4546,False
8,0.6875716114442469,0.6826358370585925,0.03290516084139136,,,,0.0002028128630700367,41700,4546,False
9,0.6113278842466767,0.606605708049739,0.03148117686216906,0.8012139410160735,0.9153101627804664,0.984381874175099,0.00018418142974846395,41700,4546,True
10,0.5614752549729589,0.5572855533336714,0.027931342030276408,,,,0.00016374748007105987,41700,4546,False
11,0.5225672276888026,0.5185028031331054,0.02709616270257763,,,,0.00014220686768626713,41700,4546,False
12,0.4830852990738258,0.4796278721176534,0.023049515498863627,0.7134751212056701,0.9386273647162341,0.9876814782226133,0.00012029313231373291,41700,4546,True
13,0.45437989830284076,0.4509906104083435,0.02259524953222328,,,,9.875251992894019e-05,41700,4546,False
14,0.4297305449225386,0.42690670387261476,0.018825602243922133,,,,7.831857025153615e-05,41700,4546,False
15,0.41382307816760333,0.41111423294939753,0.0180589646948932,0.6766021243811597,0.9491860976682798,0.9881214254289485,5.968713692996332e-05,41700,4546,True
16,0.3971136351403553,0.39445122025804036,0.017749426471558857,,,,4.349269108004671e-05,41700,4546,False
17,0.3850711261690487,0.3821640487777473,0.019380514069512238,,,,3.0286715132108338e-05,41700,4546,False
18,0.37777893265820867,0.3753308162505176,0.016320771858014175,0.6396527250485435,0.9597448306203256,0.989001319841619,2.0518922758232762e-05,41700,4546,True
19,0.37222315364169634,0.36958316250056167,0.0175999411994068,,,,1.4521944412536664e-05,41700,4546,False
20,0.36687822118058183,0.3646496097269695,0.014857407614613818,0.6316692415859224,0.961284645842499,0.9883413990321162,1.25e-05,41700,4546,True
