                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5395,                0.73301,                  1.712,                0.28452,                0.26567,                0.15748,                0.07644,                    nan,                    nan,                    nan,                0.07622,             0.00060976,             0.00060976
                      2,                 1.5791,                0.59204,                 1.7648,                0.01099,                0.03722,                0.00597,                0.00166,                    nan,                    nan,                    nan,               0.051843,              0.0012337,              0.0012337
                      3,                 1.5549,                0.60829,                 1.7565,                0.09054,                 0.1461,                 0.0391,                0.01621,                    nan,                    nan,                    nan,               0.027463,              0.0018533,              0.0018533
                      4,                 1.5488,                 0.5672,                 1.7348,                0.00646,                0.02508,                0.00339,                0.00208,                 2.4852,                    inf,                  21.53,              0.0030751,              0.0024654,              0.0024654
                      5,                 1.5765,                0.55593,                 1.7394,                0.43509,                0.35621,                0.29536,                0.14078,                 1.8209,                 1.1529,                 2.3401,              0.0024654,              0.0024654,              0.0024654
                      6,                 1.5477,                0.64827,                 1.7504,                0.58587,                0.71493,                 0.5688,                0.28688,                 1.5861,                 1.1327,                 1.8502,              0.0024654,              0.0024654,              0.0024654
                      7,                 1.4861,                0.54992,                 1.6781,                0.66811,                0.67801,                0.69429,                0.36583,                 1.5433,                0.82785,                 1.7746,              0.0024462,              0.0024462,              0.0024462
                      8,                 1.4654,                0.50749,                 1.6614,                0.78404,                0.75597,                0.81365,                0.47299,                 1.4231,                0.60773,                 1.6684,              0.0024228,              0.0024228,              0.0024228
                      9,                 1.4284,                0.46212,                 1.6256,                0.79535,                0.80243,                0.84786,                0.50515,                 1.3746,                0.61889,                 1.6517,              0.0023953,              0.0023953,              0.0023953
                     10,                  1.467,                0.45137,                 1.6502,                0.77425,                0.73024,                0.79008,                0.45283,                 1.4428,                0.51203,                 1.6725,              0.0023639,              0.0023639,              0.0023639
                     11,                 1.3433,                0.43104,                 1.5787,                0.84401,                0.82262,                 0.8782,                0.54028,                 1.3055,                0.46578,                 1.5734,              0.0023288,              0.0023288,              0.0023288
                     12,                 1.4345,                0.47344,                 1.6307,                0.79214,                0.78052,                0.84594,                0.49368,                 1.3976,                0.53017,                 1.6458,              0.0022899,              0.0022899,              0.0022899
                     13,                 1.3315,                0.39413,                 1.5578,                0.83103,                0.83212,                0.87388,                 0.5377,                 1.3092,                0.39271,                 1.5732,              0.0022476,              0.0022476,              0.0022476
                     14,                 1.3492,                0.40015,                 1.5758,                0.83249,                0.83054,                0.87498,                0.52211,                 1.3701,                0.41526,                 1.5982,              0.0022019,              0.0022019,              0.0022019
                     15,                 1.3266,                0.37994,                 1.5696,                0.84238,                0.82262,                0.87897,                0.51814,                 1.3835,                0.39394,                 1.6415,               0.002153,               0.002153,               0.002153
                     16,                 1.2992,                0.36687,                 1.5346,                0.86004,                0.85477,                0.90498,                0.55389,                 1.3193,                0.35459,                 1.5648,              0.0021012,              0.0021012,              0.0021012
                     17,                 1.2692,                0.35956,                 1.5325,                0.83693,                0.83927,                0.89119,                0.54302,                  1.343,                0.37365,                 1.5718,              0.0020466,              0.0020466,              0.0020466
                     18,                 1.2804,                0.34706,                 1.4981,                0.85158,                0.83199,                 0.8858,                0.54773,                 1.3108,                0.35436,                 1.5447,              0.0019894,              0.0019894,              0.0019894
                     19,                 1.2391,                0.33477,                 1.4895,                0.86884,                0.83239,                0.89087,                0.54409,                 1.3494,                0.35004,                 1.5829,              0.0019299,              0.0019299,              0.0019299
                     20,                   1.22,                0.31254,                 1.4885,                0.86522,                0.80147,                0.86572,                0.53775,                 1.3352,                0.36129,                 1.5979,              0.0018684,              0.0018684,              0.0018684
                     21,                 1.2408,                0.32338,                 1.5113,                0.86794,                0.86433,                0.91303,                0.57298,                 1.2792,                0.31069,                 1.5489,              0.0018049,              0.0018049,              0.0018049
                     22,                 1.2048,                0.31172,                 1.4751,                0.86925,                0.87043,                 0.9149,                0.57418,                  1.279,                0.30521,                 1.5447,              0.0017399,              0.0017399,              0.0017399
                     23,                  1.204,                0.30531,                 1.4608,                0.87082,                0.86103,                0.91187,                0.57617,                 1.2437,                0.30016,                 1.5122,              0.0016736,              0.0016736,              0.0016736
                     24,                 1.1762,                0.30042,                 1.4549,                0.88865,                0.87238,                0.92359,                0.57551,                 1.3139,                0.29546,                 1.5345,              0.0016061,              0.0016061,              0.0016061
                     25,                 1.1783,                0.29455,                 1.4341,                 0.8774,                0.84374,                0.90259,                0.56463,                 1.2992,                0.32922,                 1.5356,              0.0015379,              0.0015379,              0.0015379
                     26,                 1.1401,                0.28341,                 1.4167,                0.87681,                0.88848,                0.92864,                0.58827,                 1.2618,                0.28634,                 1.5362,              0.0014691,              0.0014691,              0.0014691
                     27,                 1.1324,                 0.2788,                 1.4209,                0.88206,                0.88638,                0.92758,                0.58615,                  1.226,                 0.2863,                 1.5248,                 0.0014,                 0.0014,                 0.0014
                     28,                 1.1012,                0.27181,                 1.3899,                0.88277,                0.89349,                0.93097,                0.59526,                 1.2442,                0.27595,                 1.5219,              0.0013309,              0.0013309,              0.0013309
                     29,                  1.103,                0.26482,                  1.411,                0.88598,                0.88808,                0.92859,                0.59165,                 1.2652,                0.27413,                 1.5373,              0.0012621,              0.0012621,              0.0012621
