                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4656,                0.62567,                 1.5083,                 0.2705,                0.45865,                0.19561,                0.11168,                 1.4859,                    inf,                 1.5732,                0.08089,                0.00049,                0.00049
                      2,                 1.4622,                0.51698,                 1.4941,                0.23969,                0.68717,                0.21183,                 0.1021,                 1.6744,                    inf,                 1.9654,                0.06139,             0.00098989,             0.00098989
                      3,                 1.4376,                0.52651,                 1.5214,                0.34468,                0.65054,                  0.308,                0.16408,                 1.6171,                 1.6265,                 2.0702,               0.041889,              0.0014893,              0.0014893
                      4,                  1.396,                  0.563,                 1.5016,                0.63171,                 0.7377,                0.71077,                0.39837,                 1.4255,                0.78843,                 1.5725,               0.022388,               0.001988,               0.001988
                      5,                 1.5074,                 0.4689,                 1.5443,                0.63171,                 0.7377,                0.71077,                0.39837,                  3.387,                    inf,                 15.945,              0.0028856,              0.0024856,              0.0024856
                      6,                  1.433,                0.50466,                 1.5127,                 0.3361,                0.59639,                0.28366,                0.15511,                 1.6272,                 1.0345,                 1.7037,              0.0024931,              0.0024931,              0.0024931
                      7,                 1.4095,                0.43306,                 1.4896,                0.69958,                0.56487,                0.61534,                0.35247,                  1.643,                0.69739,                 1.9043,              0.0024931,              0.0024931,              0.0024931
                      8,                 1.4428,                0.41309,                 1.4914,                0.74463,                0.67127,                 0.7325,                0.42283,                 1.4877,                0.51541,                 1.6105,                0.00249,                0.00249,                0.00249
                      9,                   1.36,                0.39718,                 1.4539,                0.80161,                 0.8217,                0.84435,                0.46611,                 1.5202,                0.42561,                  1.558,              0.0024865,              0.0024865,              0.0024865
                     10,                 1.3909,                0.37616,                 1.4423,                0.83068,                0.81502,                0.86188,                0.50649,                  1.369,                0.37147,                 1.4762,              0.0024823,              0.0024823,              0.0024823
                     11,                 1.3151,                0.37319,                 1.4018,                  0.818,                0.84773,                0.87202,                0.52189,                 1.3803,                 0.3719,                  1.469,              0.0024776,              0.0024776,              0.0024776
                     12,                 1.2796,                0.35982,                 1.4029,                0.83262,                0.84358,                0.87307,                0.52323,                 1.3405,                0.34927,                 1.4592,              0.0024724,              0.0024724,              0.0024724
                     13,                   1.29,                0.34011,                 1.4045,                0.83074,                0.84335,                0.87289,                0.52982,                 1.3152,                0.33395,                 1.4362,              0.0024667,              0.0024667,              0.0024667
                     14,                 1.2314,                0.32325,                 1.3744,                0.85025,                0.85148,                0.88999,                0.51995,                 1.4058,                0.33156,                  1.471,              0.0024604,              0.0024604,              0.0024604
                     15,                 1.2881,                0.32508,                 1.3805,                0.85439,                0.85156,                0.88803,                0.52087,                 1.3857,                0.32728,                  1.488,              0.0024535,              0.0024535,              0.0024535
                     16,                 1.2428,                0.31943,                 1.3572,                0.86739,                0.85533,                0.89248,                0.54719,                 1.3115,                0.30634,                 1.4172,              0.0024462,              0.0024462,              0.0024462
                     17,                 1.2451,                0.30549,                 1.3654,                0.86868,                0.85741,                0.89652,                0.53649,                 1.4047,                0.31246,                 1.4686,              0.0024383,              0.0024383,              0.0024383
                     18,                 1.2729,                0.31009,                 1.3779,                0.86052,                0.84243,                0.88799,                0.53343,                  1.356,                0.32317,                 1.4513,              0.0024299,              0.0024299,              0.0024299
