                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4248,                0.59749,                 1.5931,                0.49534,                0.77784,                0.62225,                0.35086,                 1.3569,                 2.2067,                 1.6796,                0.08089,                0.00049,                0.00049
                      2,                 1.4166,                0.50057,                 1.5728,                0.40199,                0.76648,                0.49073,                0.28313,                 1.3239,                    inf,                 1.6341,                0.06139,             0.00098989,             0.00098989
                      3,                 1.3942,                0.46545,                 1.5583,                0.63442,                0.66927,                0.70205,                0.38738,                 1.4264,                 1.1022,                 1.6734,               0.041889,              0.0014893,              0.0014893
                      4,                 1.4439,                0.52208,                 1.5793,                0.61406,                0.75211,                0.63725,                0.31507,                 1.6115,                 1.7947,                 1.9206,               0.022388,               0.001988,               0.001988
                      5,                 1.4414,                0.49559,                 1.5982,                0.75147,                0.74007,                0.79423,                0.45486,                 1.4935,                0.69389,                 1.7727,              0.0028856,              0.0024856,              0.0024856
                      6,                 1.4447,                0.46131,                 1.5951,                0.74526,                 0.7202,                0.76952,                0.40625,                 1.5727,                0.57278,                 1.7952,              0.0024931,              0.0024931,              0.0024931
                      7,                  1.461,                0.46709,                 1.6002,                0.81154,                0.78988,                0.84223,                0.48148,                 1.4322,                0.48633,                 1.6609,              0.0024931,              0.0024931,              0.0024931
                      8,                 1.4277,                0.41391,                 1.5361,                 0.7904,                0.76661,                0.83515,                0.48223,                 1.4505,                 0.4509,                 1.6517,                0.00249,                0.00249,                0.00249
                      9,                 1.4182,                0.41338,                 1.5626,                0.83129,                0.76965,                0.84652,                0.48302,                 1.4948,                0.43916,                 1.6509,              0.0024865,              0.0024865,              0.0024865
                     10,                 1.3817,                0.38301,                 1.5183,                0.84638,                0.83014,                0.88871,                0.53287,                 1.3741,                0.39305,                 1.5678,              0.0024823,              0.0024823,              0.0024823
