                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5168,                0.72541,                  1.591,                 0.6342,                0.58784,                0.51648,                0.28177,                 1.4062,                    inf,                 1.5881,               0.076205,             0.00061012,             0.00061012
                      2,                 1.4961,                 0.7002,                 1.6168,                0.00289,                0.01071,                0.00148,                0.00089,                    nan,                    nan,                    nan,               0.051829,               0.001234,               0.001234
                      3,                  1.477,                0.55935,                 1.5872,                0.01082,                0.04005,                0.00683,                0.00224,                    nan,                    nan,                    nan,               0.027449,              0.0018537,              0.0018537
                      4,                 1.6166,                0.53179,                 1.6439,                0.00111,                 0.0041,                0.00062,                0.00029,                    nan,                    nan,                    nan,               0.003061,              0.0024658,              0.0024658
                      5,                 1.5387,                0.49654,                 1.5752,                0.41286,                0.48658,                0.32911,                0.17458,                 1.8236,                 1.6422,                 1.9307,              0.0024654,              0.0024654,              0.0024654
                      6,                 1.4665,                0.47023,                  1.521,                0.70149,                0.71051,                0.71113,                0.34478,                 1.6278,                0.73386,                 1.6991,              0.0024654,              0.0024654,              0.0024654
                      7,                 1.4843,                 0.4546,                 1.5393,                0.72807,                0.73721,                0.77818,                0.43748,                 1.4514,                0.76116,                 1.6121,              0.0024462,              0.0024462,              0.0024462
                      8,                 1.4298,                 0.4281,                 1.4898,                0.63932,                0.52518,                 0.5756,                0.31291,                 1.7894,                0.76538,                 1.8886,              0.0024228,              0.0024228,              0.0024228
                      9,                 1.3953,                0.40392,                 1.4692,                0.71115,                 0.4965,                0.58473,                 0.3325,                 1.8224,                0.75426,                 1.9008,              0.0023953,              0.0023953,              0.0023953
                     10,                 1.4027,                0.42652,                  1.482,                0.45932,                0.26966,                0.30118,                0.15441,                 2.3051,                 1.2578,                 2.1669,              0.0023639,              0.0023639,              0.0023639
                     11,                 1.3814,                0.40148,                 1.4756,                0.72481,                0.62961,                0.68349,                0.38623,                 1.5626,                0.59072,                 1.6403,              0.0023288,              0.0023288,              0.0023288
                     12,                 1.3315,                0.38804,                 1.4281,                0.77848,                0.68847,                0.73817,                0.43548,                 1.5059,                0.51222,                 1.5881,              0.0022899,              0.0022899,              0.0022899
                     13,                 1.3008,                0.37736,                 1.4104,                 0.8147,                 0.7844,                0.84062,                0.51018,                 1.3611,                0.40685,                 1.4787,              0.0022476,              0.0022476,              0.0022476
                     14,                 1.2903,                0.35201,                 1.4143,                0.83452,                0.84726,                0.88312,                0.54382,                 1.2849,                0.35233,                 1.4293,              0.0022019,              0.0022019,              0.0022019
                     15,                 1.2247,                0.33323,                 1.3974,                0.85126,                0.85129,                0.89165,                0.55811,                 1.2753,                0.33833,                 1.4282,               0.002153,               0.002153,               0.002153
                     16,                  1.254,                0.33148,                  1.386,                0.85021,                0.83658,                0.88811,                0.55444,                 1.2969,                0.33185,                 1.4173,              0.0021012,              0.0021012,              0.0021012
                     17,                 1.2256,                0.31386,                 1.3705,                0.85753,                0.85539,                0.89219,                0.55623,                 1.2895,                0.32256,                 1.4186,              0.0020466,              0.0020466,              0.0020466
                     18,                 1.2127,                0.31113,                 1.3686,                0.84728,                0.85922,                0.89265,                 0.5615,                 1.2707,                0.32241,                 1.4192,              0.0019894,              0.0019894,              0.0019894
                     19,                 1.2142,                 0.3074,                 1.3719,                0.85015,                0.85795,                0.89651,                0.56208,                 1.2886,                0.30896,                 1.4382,              0.0019299,              0.0019299,              0.0019299
                     20,                 1.1832,                0.29635,                 1.3549,                0.85896,                 0.8579,                0.89638,                0.56392,                  1.265,                  0.308,                 1.4359,              0.0018684,              0.0018684,              0.0018684
                     21,                 1.2012,                0.29583,                 1.3689,                0.86185,                0.86358,                0.89973,                 0.5532,                 1.3006,                0.30525,                 1.4344,              0.0018049,              0.0018049,              0.0018049
                     22,                 1.1799,                0.29015,                 1.3506,                0.87082,                 0.8644,                0.90811,                 0.5746,                 1.2547,                0.29431,                 1.4032,              0.0017399,              0.0017399,              0.0017399
                     23,                 1.1368,                0.27693,                 1.3133,                0.86263,                0.86744,                0.90123,                0.56767,                 1.2505,                0.29634,                 1.3895,              0.0016736,              0.0016736,              0.0016736
                     24,                 1.1176,                0.26965,                 1.3199,                0.87316,                0.86953,                0.90532,                0.57619,                  1.235,                 0.2874,                 1.4005,              0.0016061,              0.0016061,              0.0016061
                     25,                 1.1086,                0.26509,                 1.3067,                0.86902,                0.87601,                0.91158,                0.56805,                 1.2774,                0.28369,                  1.404,              0.0015379,              0.0015379,              0.0015379
                     26,                  1.091,                 0.2615,                 1.2971,                0.87551,                0.86596,                0.90483,                0.57082,                 1.2548,                0.28358,                 1.4109,              0.0014691,              0.0014691,              0.0014691
                     27,                 1.0893,                 0.2573,                 1.2971,                0.87502,                 0.8746,                0.90963,                0.58123,                 1.2282,                0.27474,                 1.4001,                 0.0014,                 0.0014,                 0.0014
                     28,                 1.0619,                0.25096,                 1.2806,                0.87987,                0.86844,                0.91193,                0.58282,                 1.2271,                0.27378,                 1.4108,              0.0013309,              0.0013309,              0.0013309
                     29,                 1.0613,                0.25116,                 1.2724,                0.86742,                0.88131,                0.91264,                0.58665,                  1.223,                0.26706,                 1.3979,              0.0012621,              0.0012621,              0.0012621
                     30,                 1.0437,                0.24443,                 1.2766,                 0.8822,                0.87316,                0.91056,                0.57882,                 1.2393,                0.26881,                 1.4092,              0.0011939,              0.0011939,              0.0011939
                     31,                 1.0301,                0.24111,                 1.2615,                0.87575,                0.87971,                0.91264,                0.58792,                 1.2172,                0.26486,                 1.4045,              0.0011264,              0.0011264,              0.0011264
                     32,                  1.022,                0.24125,                  1.253,                0.87585,                 0.8813,                0.91741,                0.58602,                 1.2415,                0.26726,                 1.4091,              0.0010601,              0.0010601,              0.0010601
                     33,                 1.0087,                0.23297,                 1.2508,                0.87463,                0.87746,                  0.915,                0.59244,                 1.2139,                0.26102,                 1.4078,             0.00099506,             0.00099506,             0.00099506
                     34,                 1.0357,                0.23411,                 1.2629,                0.87645,                0.87429,                0.90676,                0.57788,                 1.2411,                0.26648,                 1.4154,             0.00093164,             0.00093164,             0.00093164
                     35,                0.98722,                0.22723,                 1.2375,                0.88531,                0.87448,                 0.9127,                0.58575,                 1.2355,                 0.2607,                  1.425,             0.00087007,             0.00087007,             0.00087007
                     36,                0.99069,                0.22411,                 1.2297,                0.88286,                0.87274,                0.91411,                0.58892,                 1.2293,                0.25791,                 1.4236,             0.00081059,             0.00081059,             0.00081059
                     37,                0.97358,                0.22029,                  1.217,                0.88605,                0.87981,                0.92118,                 0.5902,                 1.2302,                0.25437,                 1.4194,             0.00075344,             0.00075344,             0.00075344
                     38,                0.95182,                 0.2182,                 1.2196,                0.88269,                0.88519,                0.91842,                0.59098,                 1.2266,                0.25316,                 1.4278,             0.00069883,             0.00069883,             0.00069883
                     39,                0.94071,                0.21275,                 1.1955,                0.88476,                0.87759,                0.91916,                0.58886,                 1.2319,                0.25372,                 1.4201,               0.000647,               0.000647,               0.000647
                     40,                0.92897,                0.21525,                 1.1965,                0.88039,                 0.8757,                0.91545,                0.59175,                 1.2192,                0.25223,                  1.425,             0.00059813,             0.00059813,             0.00059813
                     41,                 0.9183,                0.21007,                 1.1906,                0.88315,                0.88262,                0.91614,                0.58655,                 1.2335,                 0.2538,                 1.4386,             0.00055244,             0.00055244,             0.00055244
                     42,                0.91255,                0.20868,                 1.1804,                0.88172,                0.88579,                0.91519,                0.58938,                 1.2204,                0.25131,                 1.4334,             0.00051008,             0.00051008,             0.00051008
                     43,                0.89072,                 0.2014,                 1.1729,                0.88577,                0.88288,                0.92132,                0.59859,                 1.2185,                 0.2464,                 1.4174,             0.00047124,             0.00047124,             0.00047124
                     44,                 0.8843,                0.20025,                 1.1594,                0.89295,                0.87363,                0.92107,                 0.5998,                 1.2128,                0.24595,                  1.417,             0.00043606,             0.00043606,             0.00043606
                     45,                0.87802,                0.19971,                 1.1675,                 0.8861,                0.87616,                0.91738,                 0.5878,                 1.2401,                0.24856,                 1.4372,             0.00040469,             0.00040469,             0.00040469
                     46,                0.86546,                0.19705,                 1.1514,                0.88854,                0.87839,                0.91823,                0.59255,                 1.2174,                0.24512,                  1.439,             0.00037725,             0.00037725,             0.00037725
                     47,                0.84237,                0.19294,                 1.1458,                0.87856,                0.88462,                0.91647,                0.59377,                 1.2159,                0.24505,                 1.4355,             0.00035384,             0.00035384,             0.00035384
                     48,                0.84389,                0.19188,                 1.1459,                0.88365,                0.88249,                0.91805,                0.59447,                 1.2165,                0.24492,                 1.4439,             0.00033456,             0.00033456,             0.00033456
                     49,                0.82119,                0.18885,                 1.1318,                0.87945,                0.88658,                0.91735,                0.59345,                 1.2185,                0.24506,                 1.4487,             0.00031948,             0.00031948,             0.00031948
                     50,                 0.8233,                0.18815,                 1.1319,                 0.8754,                0.88781,                0.91945,                0.59135,                 1.2295,                0.24485,                  1.457,             0.00030867,             0.00030867,             0.00030867
