epoch,train_loss,train_ce_loss,train_supcon_loss,val_loss,val_top1,val_top5,lr,train_samples,val_samples,validated
1,4.96395660660885,4.953272154485738,0.07122970564766244,4.092530446846608,0.8514370245139475,0.9585798816568047,0.00025,41514,4732,True
2,3.4573313320676484,3.4497817782340228,0.05033034805166136,,,,0.00025,41514,4732,False
3,2.250586193192888,2.2434249982513763,0.04774130284642895,1.658457581057754,0.8702451394759088,0.9655536770921387,0.00025,41514,4732,True
4,1.5418477995252167,1.5355217427843146,0.042173715271878284,,,,0.00024797805558746333,41514,4732,False
5,1.1435207262359284,1.1370553930324536,0.043102231656862215,,,,0.00024198107724176724,41514,4732,False
6,0.9180009699668046,0.912114322875385,0.03924431564856032,0.9641530284514794,0.8947590870667794,0.9807692307692307,0.0002322132848678917,41514,4732,True
7,0.7724442109465599,0.7670862560194952,0.035719699785221125,,,,0.00021900730891995327,41514,4732,False
8,0.6707184359224306,0.665708885666121,0.03339700256445347,,,,0.0002028128630700367,41514,4732,False
9,0.5962023715385132,0.5920506009694051,0.02767847534269768,0.8383487231985352,0.9063820794590025,0.9858410819949281,0.00018418142974846395,41514,4732,True
10,0.5484826662750156,0.5445826715203347,0.025999964294779028,,,,0.00016374748007105987,41514,4732,False
11,0.5088534055070745,0.5050684082218342,0.025233318151027494,,,,0.00014220686768626713,41514,4732,False
12,0.47709920367708913,0.4734477413197358,0.024343078740727192,0.761916649840388,0.9292054099746407,0.9885883347421809,0.00012029313231373291,41514,4732,True
13,0.4480151156032527,0.4446422365942487,0.022485858364419714,,,,9.875251992894019e-05,41514,4732,False
14,0.4225258582651063,0.4195405618046169,0.019901978135681862,,,,7.831857025153615e-05,41514,4732,False
15,0.4006613625765399,0.39770136645960585,0.01973330520084144,0.6773797673687326,0.9499154691462384,0.9907016060862215,5.968713692996332e-05,41514,4732,True
16,0.3875093839855658,0.3848352025918387,0.017827873738968738,,,,4.349269108004671e-05,41514,4732,False
17,0.37590920690585067,0.37334360782470966,0.01710399268715803,,,,3.0286715132108338e-05,41514,4732,False
18,0.3671483752766141,0.3647792799812224,0.015793968244182638,0.639028850442156,0.9587912087912088,0.9917582417582418,2.0518922758232762e-05,41514,4732,True
19,0.36120111084784623,0.358554953088363,0.01764104996866283,,,,1.4521944412536664e-05,41514,4732,False
20,0.3586956290528178,0.3560835125821608,0.017414109604033,0.6202480431491807,0.9634404057480981,0.9911242603550295,1.25e-05,41514,4732,True
