epoch,train_loss,train_ce_loss,train_supcon_loss,val_loss,val_top1,val_top5,lr,train_samples,val_samples,validated
1,4.857559373586928,4.850007797190935,0.05034382501540359,3.7912431157519655,0.8575569903808143,0.9596784820134405,0.00025,38848,7589,True
2,3.170172845806675,3.165013986717928,0.0343923779205255,,,,0.00025,38848,7589,False
3,1.9825318551927658,1.9781566173869263,0.029168252557779998,1.3610401594021493,0.8816708393727763,0.9716695216761102,0.00025,38848,7589,True
4,1.3682889181758466,1.3641784963929868,0.027402811429019912,,,,0.00024654934081934365,38848,7589,False
5,1.0186791252068672,1.0155929825353072,0.02057427852882511,,,,0.00023639790304631864,38848,7589,False
6,0.8420177302653157,0.8389435488073987,0.02049454312182386,0.8708960237687151,0.9098695480300435,0.981025168006325,0.00022013565134531822,38848,7589,True
7,0.7216554569599066,0.719057492212173,0.0173197641433255,,,,0.00019870768867432474,38848,7589,False
8,0.628828191457706,0.6267801698978493,0.013653475785845833,,,,0.00017335933033630108,38848,7589,False
9,0.5712825901671336,0.5690543522699268,0.014854913983644405,0.7375915220940218,0.9283173013572276,0.9861641850046119,0.0001455637307803196,38848,7589,True
10,0.5280262358253438,0.5258299998043003,0.014641571732443532,,,,0.0001169362692196804,38848,7589,False
11,0.4901236056594126,0.48842925159797634,0.011295692973710364,,,,8.914066966369891e-05,38848,7589,False
12,0.4563205272106598,0.4546168044184931,0.011358153152462138,0.6790526833265945,0.9433390433522203,0.988667808670444,6.379231132567526e-05,38848,7589,True
13,0.4385851276225274,0.4371844106392177,0.009338113271418032,,,,4.2364348654681734e-05,38848,7589,False
14,0.4159834951015045,0.414755817643893,0.008184513802865683,,,,2.6102096953681366e-05,38848,7589,False
15,0.4076092222082556,0.4063679809625302,0.008274942797591797,0.6243217592811785,0.9573066280142312,0.9890631176703123,1.5950659180656326e-05,38848,7589,True
16,0.39430579184700276,0.39307903425992025,0.00817838352966802,0.6204059348462646,0.9565160100144947,0.988667808670444,1.25e-05,38848,7589,True
